id,train_or_test,cap_shape,shape,sColour,is_imputed,sColour_mode,sColour_smart
6106,test,x,t,k,no,k,k
6107,test,k,e,w,no,w,w
6108,test,f,e,h,no,h,h
6109,test,x,e,h,no,h,h
6110,train,f,e,h,no,h,h
6111,test,x,t,w,no,w,w
6112,test,f,e,h,no,h,h
6113,train,b,e,o,no,o,o
6114,test,f,t,k,no,k,k
6115,test,k,t,w,no,w,w
6116,test,f,t,n,yes,w,n
6117,test,f,t,w,no,w,w
6118,test,b,e,n,no,n,n
6119,test,f,t,k,no,k,k
6120,test,f,t,n,no,n,n
6121,test,x,t,w,yes,w,n
6122,test,x,t,n,no,n,n
6123,test,f,e,w,no,w,w
6124,test,x,t,h,no,h,h
6125,test,f,t,n,no,n,n
6126,test,x,e,w,no,w,w
6127,train,x,t,k,yes,w,n
6128,test,f,t,w,no,w,w
6129,test,f,t,w,no,w,w
6130,test,f,t,n,no,n,n
6131,train,f,t,k,yes,w,n
6132,test,f,t,w,no,w,w
6133,test,x,e,h,no,h,h
6134,test,f,e,y,no,y,y
6135,test,f,t,n,no,n,n
6136,test,x,t,h,no,h,h
6137,train,f,e,h,no,h,h
6138,test,x,t,n,no,n,n
6139,test,f,t,k,no,k,k
6140,train,f,e,h,no,h,h
6141,train,f,e,k,no,k,k
6142,test,k,t,w,no,w,w
6143,test,x,t,n,no,n,n
6144,test,f,t,h,no,h,h
6145,test,x,e,h,no,h,h
6146,test,k,t,w,no,w,w
6147,test,f,t,n,no,n,n
6148,test,f,t,w,yes,w,n
6149,test,b,e,w,no,w,w
6150,train,k,t,w,no,w,w
6151,test,f,e,h,no,h,h
6152,train,f,t,w,no,w,w
6153,test,b,e,b,no,b,b
6154,test,f,t,w,no,w,w
6155,train,f,e,h,no,h,h
6156,test,x,t,n,no,n,n
6157,test,x,e,w,no,w,w
6158,test,x,t,w,yes,w,n
6159,test,f,e,h,no,h,h
6160,test,x,t,w,no,w,w
6161,test,b,e,k,no,k,k
6162,test,f,t,n,no,n,n
6163,test,k,t,w,no,w,w
6164,test,k,e,y,no,y,y
6165,train,x,e,k,no,k,k
6166,test,f,t,n,yes,w,n
6167,test,f,t,n,yes,w,n
6168,train,x,e,k,no,k,k
6169,test,f,t,w,no,w,w
6170,test,x,t,w,no,w,w
6171,test,x,t,k,no,k,k
6172,test,f,e,w,no,w,w
6173,train,f,e,k,no,k,k
6174,test,k,t,w,no,w,w
6175,test,f,t,n,no,n,n
6176,test,f,t,k,no,k,k
6177,test,f,t,k,no,k,k
6178,test,f,t,n,no,n,n
6179,test,x,t,k,no,k,k
6180,test,k,t,w,no,w,w
6181,train,x,t,n,yes,w,n
6182,test,k,t,w,yes,w,w
6183,test,x,t,n,no,n,n
6184,test,x,t,k,no,k,k
6185,train,f,e,k,no,k,k
6186,train,x,t,w,no,w,w
6187,test,x,e,h,no,h,h
6188,test,x,e,k,yes,w,h
6189,train,f,t,k,no,k,k
6190,train,f,e,n,no,n,n
6191,train,x,t,h,yes,w,n
6192,test,f,t,k,no,k,k
6193,test,f,t,k,no,k,k
6194,train,x,e,w,no,w,w
6195,test,f,t,w,no,w,w
6196,train,x,t,w,no,w,w
6197,train,f,e,n,yes,w,h
6198,train,x,e,h,no,h,h
6199,test,b,e,r,no,r,r
6200,test,f,e,h,no,h,h
6201,test,f,t,n,no,n,n
6202,test,x,t,k,no,k,k
6203,test,f,e,h,no,h,h
6204,test,x,t,k,no,k,k
6205,test,f,e,h,yes,w,h
6206,test,x,t,n,yes,w,n
6207,test,f,t,n,no,n,n
6208,train,f,t,w,no,w,w
6209,train,x,t,n,no,n,n
6210,test,f,t,w,no,w,w
6211,train,f,t,w,no,w,w
6212,test,x,e,h,yes,w,h
6213,train,f,t,n,yes,w,n
6214,test,x,e,k,yes,w,h
6215,test,x,e,h,no,h,h
6216,test,x,e,h,no,h,h
6217,test,x,t,k,no,k,k
6218,test,x,e,h,yes,w,h
6219,test,x,e,h,no,h,h
6220,test,x,e,n,no,n,n
6221,test,x,e,n,no,n,n
6222,test,x,t,h,no,h,h
6223,test,f,e,k,no,k,k
6224,test,b,e,w,no,w,w
6225,train,x,t,h,no,h,h
6226,test,f,e,w,no,w,w
6227,test,x,e,k,no,k,k
6228,test,k,t,w,no,w,w
6229,test,x,t,k,no,k,k
6230,test,x,e,w,no,w,w
6231,train,x,t,n,no,n,n
6232,train,f,t,w,no,w,w
6233,test,f,t,n,no,n,n
6234,test,f,t,n,yes,w,n
6235,test,k,e,y,no,y,y
6236,test,x,e,h,no,h,h
6237,test,f,t,k,no,k,k
6238,test,f,t,n,yes,w,n
6239,test,x,e,n,no,n,n
6240,test,f,t,n,no,n,n
6241,test,x,e,n,no,n,n
6242,test,x,e,h,no,h,h
6243,test,x,t,w,no,w,w
6244,test,b,e,k,yes,w,n
6245,test,f,e,h,no,h,h
6246,test,x,t,n,no,n,n
6247,test,x,e,h,no,h,h
6248,test,f,t,n,no,n,n
6249,train,k,e,w,no,w,w
6250,test,k,t,w,no,w,w
6251,test,b,e,r,yes,w,n
6252,train,f,t,h,yes,w,n
6253,test,x,e,h,no,h,h
6254,train,f,e,h,no,h,h
6255,test,f,t,w,yes,w,n
6256,test,x,t,k,yes,w,n
6257,test,k,t,w,no,w,w
6258,test,f,t,n,yes,w,n
6259,test,f,t,n,no,n,n
6260,test,x,t,n,no,n,n
6261,test,x,t,h,no,h,h
6262,test,x,t,w,no,w,w
6263,train,x,e,h,no,h,h
6264,test,f,e,h,yes,w,h
6265,train,x,e,k,no,k,k
6266,train,x,e,h,no,h,h
6267,test,f,e,h,no,h,h
6268,test,f,t,n,no,n,n
6269,test,x,t,n,no,n,n
6270,test,x,t,n,no,n,n
6271,test,f,e,h,no,h,h
6272,test,x,t,w,no,w,w
6273,test,k,e,n,no,n,n
6274,test,f,e,h,no,h,h
6275,test,x,t,n,no,n,n
6276,test,f,t,n,no,n,n
6277,train,f,t,k,no,k,k
6278,train,f,e,h,no,h,h
6279,train,f,t,n,no,n,n
6280,test,x,t,n,no,n,n
6281,test,x,e,k,no,k,k
6282,test,x,t,w,no,w,w
6283,test,f,e,k,no,k,k
6284,train,k,t,w,no,w,w
6285,test,x,e,w,no,w,w
6286,test,x,t,w,no,w,w
6287,test,x,t,w,yes,w,n
6288,test,x,e,n,no,n,n
6289,test,x,e,h,no,h,h
6290,train,x,t,k,no,k,k
6291,test,f,t,n,no,n,n
6292,test,x,t,u,no,u,u
6293,test,f,t,w,no,w,w
6294,test,f,e,w,no,w,w
6295,test,k,t,w,no,w,w
6296,test,f,e,h,no,h,h
6297,train,k,t,w,no,w,w
6298,train,f,t,k,no,k,k
6299,test,x,e,n,no,n,n
6300,test,x,t,k,no,k,k
6301,test,f,t,n,no,n,n
6302,test,x,t,k,no,k,k
6303,test,f,e,w,no,w,w
6304,test,f,e,k,yes,w,h
6305,test,f,t,k,no,k,k
6306,train,f,t,k,no,k,k
6307,test,f,t,w,no,w,w
6308,test,x,t,w,no,w,w
6309,test,f,t,w,no,w,w
6310,train,f,t,k,yes,w,n
6311,train,k,t,w,no,w,w
6312,test,x,t,n,no,n,n
6313,test,f,t,h,no,h,h
6314,test,k,t,w,yes,w,w
6315,test,f,t,n,no,n,n
6316,test,f,t,n,no,n,n
6317,train,f,e,n,no,n,n
6318,test,f,t,n,no,n,n
6319,test,x,e,h,no,h,h
6320,test,f,t,n,no,n,n
6321,test,f,t,w,no,w,w
6322,test,f,e,h,yes,w,h
6323,test,b,e,n,no,n,n
6324,test,s,e,n,no,n,n
6325,test,f,t,k,no,k,k
6326,test,k,t,w,yes,w,w
6327,train,k,t,w,yes,w,w
6328,test,x,t,w,no,w,w
6329,test,x,e,h,no,h,h
6330,test,f,t,k,no,k,k
6331,test,x,t,n,yes,w,n
6332,test,x,t,k,yes,w,n
6333,test,f,e,h,yes,w,h
6334,train,f,t,u,yes,w,n
6335,train,x,t,n,no,n,n
6336,test,x,t,k,no,k,k
6337,test,b,e,w,no,w,w
6338,test,f,t,k,no,k,k
6339,train,x,e,k,yes,w,h
6340,test,k,t,w,no,w,w
6341,test,x,e,w,no,w,w
6342,test,x,e,h,yes,w,h
6343,test,f,e,h,no,h,h
6344,train,k,t,w,no,w,w
6345,test,f,t,w,no,w,w
6346,test,x,t,n,no,n,n
6347,test,x,e,h,yes,w,h
6348,test,f,t,k,no,k,k
6349,test,f,t,k,yes,w,n
6350,test,x,t,w,no,w,w
6351,test,f,t,n,no,n,n
6352,test,f,t,h,no,h,h
6353,train,k,t,w,no,w,w
6354,train,x,t,k,no,k,k
6355,test,f,t,n,yes,w,n
6356,test,f,t,k,no,k,k
6357,test,f,e,h,no,h,h
6358,test,x,e,w,yes,w,h
6359,test,x,t,k,no,k,k
6360,test,f,t,w,yes,w,n
6361,train,k,e,w,no,w,w
6362,test,x,t,k,no,k,k
6363,test,x,t,h,yes,w,n
6364,test,x,e,n,no,n,n
6365,train,f,t,w,no,w,w
6366,test,f,e,h,no,h,h
6367,train,f,t,n,no,n,n
6368,test,f,t,n,yes,w,n
6369,test,f,e,h,no,h,h
6370,train,f,t,k,no,k,k
6371,test,f,t,w,no,w,w
6372,test,k,e,b,no,b,b
6373,test,x,t,k,no,k,k
6374,test,x,t,k,yes,w,n
6375,test,x,t,w,no,w,w
6376,test,x,e,n,no,n,n
6377,test,f,t,w,yes,w,n
6378,train,k,e,w,yes,w,w
6379,train,x,e,n,no,n,n
6380,test,f,t,k,no,k,k
6381,test,x,t,w,no,w,w
6382,train,x,t,k,no,k,k
6383,train,f,e,h,no,h,h
6384,test,f,t,n,no,n,n
6385,test,f,e,h,no,h,h
6386,test,f,t,w,no,w,w
6387,train,f,t,n,no,n,n
6388,train,k,t,w,yes,w,w
6389,test,x,t,k,no,k,k
6390,test,x,t,w,yes,w,n
6391,test,f,e,h,yes,w,h
6392,test,x,e,h,yes,w,h
6393,test,f,t,w,no,w,w
6394,train,k,t,w,yes,w,w
6395,test,x,e,o,no,o,o
6396,test,x,e,h,no,h,h
6397,train,f,e,k,no,k,k
6398,test,k,t,w,no,w,w
6399,test,b,e,w,yes,w,n
6400,test,x,t,k,no,k,k
6401,train,f,t,k,no,k,k
6402,test,f,t,k,no,k,k
6403,train,f,t,n,no,n,n
6404,train,f,e,h,yes,w,h
6405,test,x,t,k,no,k,k
6406,train,k,e,w,no,w,w
6407,test,x,t,k,no,k,k
6408,test,x,t,k,no,k,k
6409,test,f,e,h,no,h,h
6410,test,k,t,w,yes,w,w
6411,test,f,e,w,no,w,w
6412,test,x,t,n,no,n,n
6413,train,x,e,h,no,h,h
6414,test,k,t,w,no,w,w
6415,test,x,t,k,no,k,k
6416,test,f,e,w,no,w,w
6417,train,f,e,h,no,h,h
6418,test,x,t,n,no,n,n
6419,test,f,t,k,no,k,k
6420,test,f,e,h,no,h,h
6421,test,f,t,w,no,w,w
6422,test,x,e,h,yes,w,h
6423,test,x,e,w,no,w,w
6424,test,x,t,k,no,k,k
6425,test,k,t,w,yes,w,w
6426,test,f,e,h,no,h,h
6427,test,f,e,h,no,h,h
6428,test,f,e,h,no,h,h
6429,train,k,e,w,no,w,w
6430,test,f,e,h,no,h,h
6431,test,x,e,h,no,h,h
6432,test,x,t,w,yes,w,n
6433,test,k,e,w,no,w,w
6434,test,x,t,w,no,w,w
6435,test,x,t,k,no,k,k
6436,train,f,t,h,no,h,h
6437,test,x,e,h,no,h,h
6438,train,f,t,k,no,k,k
6439,test,f,t,k,no,k,k
6440,test,x,t,n,no,n,n
6441,test,x,t,k,no,k,k
6442,test,f,t,n,no,n,n
6443,test,f,t,h,yes,w,n
6444,train,x,t,w,no,w,w
6445,test,x,e,n,no,n,n
6446,test,k,t,w,no,w,w
6447,test,x,t,n,no,n,n
6448,test,b,e,k,no,k,k
6449,train,f,t,n,no,n,n
6450,train,f,t,k,no,k,k
6451,test,k,t,w,no,w,w
6452,test,x,t,n,no,n,n
6453,test,f,t,w,no,w,w
6454,test,x,t,n,no,n,n
6455,test,f,e,h,no,h,h
6456,test,b,e,n,no,n,n
6457,test,x,t,n,yes,w,n
6458,test,f,t,w,yes,w,n
6459,test,x,e,k,no,k,k
6460,test,f,t,k,no,k,k
6461,train,x,e,n,yes,w,h
6462,test,k,t,w,yes,w,w
6463,test,x,e,k,no,k,k
6464,test,f,e,h,no,h,h
6465,train,f,e,h,no,h,h
6466,test,f,e,h,yes,w,h
6467,train,x,e,b,yes,w,h
6468,train,b,e,w,no,w,w
6469,test,f,t,w,no,w,w
6470,test,x,t,n,no,n,n
6471,test,f,t,n,no,n,n
6472,test,x,t,n,yes,w,n
6473,train,x,e,n,no,n,n
6474,train,f,e,h,no,h,h
6475,test,f,t,k,no,k,k
6476,test,f,e,n,no,n,n
6477,test,x,e,h,no,h,h
6478,test,x,t,h,no,h,h
6479,train,x,e,w,no,w,w
6480,train,x,e,n,yes,w,h
6481,test,x,t,w,no,w,w
6482,train,f,t,k,no,k,k
6483,test,x,e,h,yes,w,h
6484,test,x,e,h,no,h,h
6485,train,k,t,w,yes,w,w
6486,test,f,e,w,no,w,w
6487,test,f,t,h,no,h,h
6488,test,x,e,h,no,h,h
6489,test,x,e,w,no,w,w
6490,test,f,e,h,yes,w,h
6491,test,x,t,n,yes,w,n
6492,test,b,e,n,no,n,n
6493,test,x,t,w,no,w,w
6494,test,f,t,n,no,n,n
6495,test,k,t,w,no,w,w
6496,test,x,e,k,no,k,k
6497,test,f,t,n,yes,w,n
6498,test,b,e,n,yes,w,n
6499,test,x,e,h,no,h,h
6500,test,f,e,k,no,k,k
6501,test,x,e,n,no,n,n
6502,test,x,t,w,no,w,w
6503,train,b,e,w,no,w,w
6504,test,f,t,k,yes,w,n
6505,test,x,t,u,no,u,u
6506,test,f,t,k,no,k,k
6507,test,f,t,n,no,n,n
6508,test,f,e,h,no,h,h
6509,train,x,t,w,no,w,w
6510,test,f,t,w,yes,w,n
6511,test,x,t,k,no,k,k
6512,test,f,t,k,no,k,k
6513,test,x,t,k,no,k,k
6514,test,f,e,h,no,h,h
6515,train,k,t,w,yes,w,w
6516,test,f,t,k,no,k,k
6517,test,x,t,w,no,w,w
6518,train,x,t,k,no,k,k
6519,test,f,t,k,no,k,k
6520,test,f,e,h,no,h,h
6521,test,f,e,w,yes,w,h
6522,test,f,t,w,yes,w,n
6523,test,x,e,k,yes,w,h
6524,test,k,t,w,no,w,w
6525,test,f,t,w,no,w,w
6526,train,f,e,h,no,h,h
6527,test,f,t,w,yes,w,n
6528,train,x,t,n,no,n,n
6529,test,x,t,w,no,w,w
6530,test,x,t,w,no,w,w
6531,train,x,t,k,no,k,k
6532,test,x,e,k,no,k,k
6533,test,f,e,h,no,h,h
6534,test,f,t,k,no,k,k
6535,test,x,t,w,no,w,w
6536,test,f,e,h,no,h,h
6537,test,x,t,k,no,k,k
6538,test,f,t,n,no,n,n
6539,test,x,e,k,no,k,k
6540,test,f,e,h,no,h,h
6541,test,k,t,w,yes,w,w
6542,test,x,e,w,yes,w,h
6543,train,x,e,h,no,h,h
6544,test,x,e,h,no,h,h
6545,test,f,t,h,no,h,h
6546,test,f,t,n,yes,w,n
6547,test,x,t,w,no,w,w
6548,test,f,e,k,no,k,k
6549,test,x,t,k,no,k,k
6550,train,k,t,w,no,w,w
6551,test,f,t,n,no,n,n
6552,test,x,e,n,no,n,n
6553,test,b,e,k,no,k,k
6554,test,f,t,w,no,w,w
6555,test,f,t,k,no,k,k
6556,test,f,e,h,no,h,h
6557,train,x,t,w,no,w,w
6558,test,x,e,k,no,k,k
6559,test,x,e,n,no,n,n
6560,test,f,e,r,no,r,r
6561,test,x,e,k,yes,w,h
6562,train,x,t,w,no,w,w
6563,train,f,t,k,yes,w,n
6564,test,x,t,k,no,k,k
6565,test,f,t,h,yes,w,n
6566,train,x,e,k,yes,w,h
6567,test,f,t,k,no,k,k
6568,test,f,t,n,no,n,n
6569,test,f,t,k,no,k,k
6570,test,k,e,w,no,w,w
6571,test,x,t,k,no,k,k
6572,train,f,e,n,no,n,n
6573,test,f,e,h,no,h,h
6574,train,k,e,w,no,w,w
6575,train,x,t,h,no,h,h
6576,train,x,t,w,no,w,w
6577,train,x,t,k,no,k,k
6578,test,f,t,k,no,k,k
6579,test,x,t,w,no,w,w
6580,test,f,e,h,yes,w,h
6581,test,x,t,n,no,n,n
6582,test,f,t,n,no,n,n
6583,test,f,t,k,no,k,k
6584,test,x,t,n,no,n,n
6585,test,x,t,n,no,n,n
6586,test,f,t,k,no,k,k
6587,test,f,e,h,no,h,h
6588,test,k,t,w,no,w,w
6589,test,x,e,k,yes,w,h
6590,test,s,e,k,no,k,k
6591,test,x,t,k,yes,w,n
6592,test,k,e,w,no,w,w
6593,test,b,e,n,yes,w,n
6594,test,x,t,n,no,n,n
6595,test,f,t,h,no,h,h
6596,train,f,t,k,yes,w,n
6597,test,k,t,w,no,w,w
6598,train,b,e,r,no,r,r
6599,test,x,t,n,no,n,n
6600,test,x,t,n,no,n,n
6601,test,x,e,w,no,w,w
6602,test,f,t,k,no,k,k
6603,test,x,e,h,yes,w,h
6604,train,k,t,w,no,w,w
6605,test,f,e,h,no,h,h
6606,test,f,t,n,yes,w,n
6607,train,x,e,h,no,h,h
6608,test,x,t,k,no,k,k
6609,train,f,t,w,no,w,w
6610,train,f,t,k,yes,w,n
6611,test,x,e,h,no,h,h
6612,test,f,t,u,no,u,u
6613,test,x,e,n,no,n,n
6614,test,x,e,k,yes,w,h
6615,test,f,t,n,no,n,n
6616,train,f,t,n,no,n,n
6617,test,x,e,o,no,o,o
6618,test,x,e,h,no,h,h
6619,test,x,e,h,no,h,h
6620,test,k,e,b,yes,w,w
6621,test,f,t,w,yes,w,n
6622,test,x,t,w,no,w,w
6623,test,x,t,n,no,n,n
6624,test,f,t,w,no,w,w
6625,test,f,t,h,no,h,h
6626,test,k,t,w,no,w,w
6627,train,x,t,w,no,w,w
6628,test,x,t,w,no,w,w
6629,train,f,t,w,no,w,w
6630,test,x,t,w,no,w,w
6631,test,x,e,h,yes,w,h
6632,test,f,t,w,yes,w,n
6633,train,f,t,w,yes,w,n
6634,test,x,t,k,yes,w,n
6635,test,x,e,k,no,k,k
6636,test,f,t,k,no,k,k
6637,test,x,t,n,no,n,n
6638,test,f,t,w,no,w,w
6639,train,f,e,h,no,h,h
6640,test,x,e,w,no,w,w
6641,test,f,e,h,yes,w,h
6642,test,f,e,h,no,h,h
6643,test,x,t,k,no,k,k
6644,train,x,t,w,no,w,w
6645,test,x,t,w,yes,w,n
6646,test,k,t,w,no,w,w
6647,test,f,e,h,no,h,h
6648,test,f,e,w,yes,w,h
6649,test,f,t,k,no,k,k
6650,test,x,t,w,no,w,w
6651,train,f,t,k,no,k,k
6652,train,f,e,n,no,n,n
6653,test,x,t,k,yes,w,n
6654,test,b,e,n,yes,w,n
6655,test,x,e,n,no,n,n
6656,test,f,e,h,no,h,h
6657,train,f,t,n,no,n,n
6658,test,k,t,w,no,w,w
6659,test,x,e,k,yes,w,h
6660,train,x,e,n,yes,w,h
6661,test,k,e,w,no,w,w
6662,train,k,e,w,no,w,w
6663,train,x,t,n,no,n,n
6664,train,f,t,n,no,n,n
6665,test,k,t,w,no,w,w
6666,test,x,t,n,no,n,n
6667,test,x,t,n,no,n,n
6668,test,k,t,w,no,w,w
6669,test,x,t,k,no,k,k
6670,train,x,t,k,no,k,k
6671,test,f,t,k,no,k,k
6672,test,f,t,w,no,w,w
6673,test,x,e,h,no,h,h
6674,train,f,t,k,no,k,k
6675,test,x,e,k,yes,w,h
6676,train,x,t,n,no,n,n
6677,test,x,e,h,no,h,h
6678,test,b,e,n,no,n,n
6679,test,f,e,h,no,h,h
6680,test,x,e,k,no,k,k
6681,test,f,t,n,yes,w,n
6682,train,x,e,k,no,k,k
6683,test,b,e,n,no,n,n
6684,test,k,e,w,no,w,w
6685,test,f,t,w,yes,w,n
6686,test,x,t,w,yes,w,n
6687,train,f,e,h,yes,w,h
6688,test,x,e,n,no,n,n
6689,test,f,t,w,yes,w,n
6690,test,k,t,w,yes,w,w
6691,test,x,t,k,no,k,k
6692,test,f,t,w,no,w,w
6693,test,k,t,w,no,w,w
6694,train,x,t,n,yes,w,n
6695,train,f,t,w,no,w,w
6696,test,x,e,w,no,w,w
6697,test,b,e,w,no,w,w
6698,train,f,e,k,no,k,k
6699,test,f,t,w,no,w,w
6700,train,x,t,n,yes,w,n
6701,train,f,e,h,no,h,h
6702,test,x,t,k,no,k,k
6703,train,f,t,h,no,h,h
6704,test,k,t,w,yes,w,w
6705,test,f,t,n,no,n,n
6706,test,f,e,n,no,n,n
6707,train,f,t,n,yes,w,n
6708,test,x,t,n,no,n,n
6709,test,f,t,k,yes,w,n
6710,train,f,t,n,no,n,n
6711,test,f,t,k,yes,w,n
6712,test,x,e,h,no,h,h
6713,train,f,t,w,no,w,w
6714,test,x,e,k,no,k,k
6715,train,f,t,w,no,w,w
6716,train,x,e,n,no,n,n
6717,test,f,e,w,yes,w,h
6718,test,x,t,n,no,n,n
6719,train,x,e,n,no,n,n
6720,test,x,t,k,no,k,k
6721,test,f,t,k,no,k,k
6722,test,b,e,n,no,n,n
6723,test,x,t,h,no,h,h
6724,test,k,e,w,yes,w,w
6725,test,x,t,k,no,k,k
6726,train,x,e,w,no,w,w
6727,train,k,t,w,yes,w,w
6728,test,f,t,k,no,k,k
6729,test,f,t,n,yes,w,n
6730,test,f,e,h,no,h,h
6731,test,k,e,w,no,w,w
6732,train,x,t,k,no,k,k
6733,test,x,e,w,no,w,w
6734,test,f,e,h,yes,w,h
6735,test,x,t,w,yes,w,n
6736,test,f,t,k,no,k,k
6737,test,f,e,h,no,h,h
6738,test,x,e,w,no,w,w
6739,train,f,t,w,no,w,w
6740,test,x,t,h,no,h,h
6741,train,k,t,w,yes,w,w
6742,train,f,t,n,no,n,n
6743,train,k,e,w,no,w,w
6744,test,f,t,h,yes,w,n
6745,train,k,t,w,no,w,w
6746,test,f,e,h,no,h,h
6747,test,x,t,k,no,k,k
6748,train,f,e,h,no,h,h
6749,test,x,e,k,no,k,k
6750,test,k,t,w,no,w,w
6751,train,f,t,k,no,k,k
6752,test,x,t,n,no,n,n
6753,test,k,e,w,no,w,w
6754,test,f,t,w,no,w,w
6755,test,k,e,w,no,w,w
6756,train,k,t,w,no,w,w
6757,test,k,e,w,yes,w,w
6758,test,k,t,w,no,w,w
6759,test,f,t,w,no,w,w
6760,train,x,e,w,no,w,w
6761,test,x,t,h,no,h,h
6762,test,k,t,w,no,w,w
6763,test,f,t,n,no,n,n
6764,test,f,t,n,no,n,n
6765,test,k,t,w,no,w,w
6766,test,f,t,w,no,w,w
6767,train,f,t,n,no,n,n
6768,train,k,e,w,no,w,w
6769,test,f,t,k,no,k,k
6770,test,f,t,k,no,k,k
6771,test,f,t,w,yes,w,n
6772,train,k,t,w,yes,w,w
6773,test,x,t,n,no,n,n
6774,test,f,t,n,no,n,n
6775,train,f,t,n,yes,w,n
6776,test,f,t,n,no,n,n
6777,train,f,t,k,no,k,k
6778,train,b,e,k,no,k,k
6779,test,f,t,n,no,n,n
6780,test,f,e,r,no,r,r
6781,test,f,e,h,no,h,h
6782,test,f,t,k,no,k,k
6783,test,f,e,r,no,r,r
6784,test,x,e,n,no,n,n
6785,test,k,t,w,no,w,w
6786,test,f,e,k,no,k,k
6787,test,b,e,w,no,w,w
6788,test,f,e,w,no,w,w
6789,test,x,t,n,no,n,n
6790,test,x,t,n,no,n,n
6791,train,f,t,k,no,k,k
6792,train,x,t,n,no,n,n
6793,test,x,e,h,no,h,h
6794,test,f,e,h,yes,w,h
6795,test,k,e,w,no,w,w
6796,train,f,t,k,no,k,k
6797,test,x,t,k,no,k,k
6798,test,x,e,n,yes,w,h
6799,train,k,t,w,no,w,w
6800,test,f,e,h,no,h,h
6801,test,f,t,w,yes,w,n
6802,train,x,t,w,no,w,w
6803,train,f,t,n,no,n,n
6804,test,f,t,w,yes,w,n
6805,test,k,e,w,no,w,w
6806,test,x,t,n,no,n,n
6807,test,k,t,w,no,w,w
6808,test,f,t,w,no,w,w
6809,test,x,t,n,no,n,n
6810,test,f,t,w,no,w,w
6811,test,x,e,k,no,k,k
6812,test,x,t,w,no,w,w
6813,test,k,t,w,no,w,w
6814,train,x,t,w,no,w,w
6815,train,x,t,k,no,k,k
6816,test,x,e,h,no,h,h
6817,test,f,e,h,no,h,h
6818,test,k,t,w,yes,w,w
6819,test,x,e,h,no,h,h
6820,test,b,e,k,no,k,k
6821,test,k,e,b,no,b,b
6822,test,k,t,w,yes,w,w
6823,test,x,e,k,no,k,k
6824,train,f,e,n,no,n,n
6825,test,k,t,w,yes,w,w
6826,test,f,t,u,no,u,u
6827,test,f,t,k,no,k,k
6828,train,f,t,h,yes,w,n
6829,test,x,t,w,no,w,w
6830,test,x,t,k,no,k,k
6831,test,k,e,w,no,w,w
6832,test,k,t,w,no,w,w
6833,train,f,e,h,yes,w,h
6834,test,f,e,k,no,k,k
6835,test,f,e,k,no,k,k
6836,test,f,e,n,yes,w,h
6837,train,f,t,w,no,w,w
6838,test,f,t,w,no,w,w
6839,test,f,t,n,no,n,n
6840,test,x,t,w,no,w,w
6841,test,x,e,n,yes,w,h
6842,test,k,e,w,no,w,w
6843,test,f,e,k,no,k,k
6844,test,x,e,h,no,h,h
6845,test,f,t,n,no,n,n
6846,test,k,t,w,no,w,w
6847,test,x,t,w,no,w,w
6848,test,f,t,k,no,k,k
6849,train,f,e,n,yes,w,h
6850,test,x,t,u,no,u,u
6851,test,f,t,w,yes,w,n
6852,test,x,t,k,no,k,k
6853,test,x,t,n,no,n,n
6854,test,x,e,n,no,n,n
6855,train,f,e,h,no,h,h
6856,test,x,t,k,no,k,k
6857,train,x,e,k,no,k,k
6858,train,k,t,w,yes,w,w
6859,train,f,t,k,no,k,k
6860,train,x,t,h,no,h,h
6861,test,x,t,n,no,n,n
6862,test,f,t,w,no,w,w
6863,test,x,e,n,no,n,n
6864,test,f,e,h,no,h,h
6865,test,x,e,n,no,n,n
6866,train,b,e,k,no,k,k
6867,train,x,e,n,no,n,n
6868,train,f,t,w,no,w,w
6869,train,f,t,w,no,w,w
6870,test,x,t,n,no,n,n
6871,train,k,e,w,no,w,w
6872,test,f,t,n,yes,w,n
6873,test,k,t,w,no,w,w
6874,test,f,t,k,no,k,k
6875,test,x,e,h,no,h,h
6876,test,f,e,h,no,h,h
6877,test,f,t,w,no,w,w
6878,test,f,e,h,no,h,h
6879,train,f,t,k,no,k,k
6880,test,x,e,h,yes,w,h
6881,test,x,e,w,yes,w,h
6882,test,f,t,w,no,w,w
6883,test,x,e,h,no,h,h
6884,test,f,e,n,yes,w,h
6885,train,x,t,h,yes,w,n
6886,test,k,t,w,no,w,w
6887,test,f,e,h,yes,w,h
6888,test,x,e,w,no,w,w
6889,test,x,e,n,no,n,n
6890,test,b,e,w,no,w,w
6891,train,f,e,h,no,h,h
6892,test,f,e,h,no,h,h
6893,train,x,e,k,yes,w,h
6894,test,x,t,w,no,w,w
6895,test,k,t,w,no,w,w
6896,train,f,e,k,no,k,k
6897,train,x,t,u,yes,w,n
6898,test,b,e,n,yes,w,n
6899,train,f,e,k,no,k,k
6900,test,x,e,w,no,w,w
6901,test,f,t,k,no,k,k
6902,train,x,e,h,no,h,h
6903,test,k,t,w,no,w,w
6904,test,x,t,k,no,k,k
6905,test,f,t,k,no,k,k
6906,train,x,t,w,no,w,w
6907,test,x,e,n,yes,w,h
6908,test,f,t,w,yes,w,n
6909,test,f,e,n,no,n,n
6910,test,x,e,h,yes,w,h
6911,test,x,t,n,no,n,n
6912,test,f,e,h,no,h,h
6913,test,x,e,k,no,k,k
6914,test,x,t,k,no,k,k
6915,test,x,t,k,no,k,k
6916,train,x,t,k,no,k,k
